"om","date","fips"
302922,2011-04-15,28007
307556,2011-04-15,1119
307574,2011-04-15,1063
307634,2011-04-15,1065
310060,2011-04-15,1119
310078,2011-04-15,1063
310083,2011-04-15,1091
297660,2011-04-15,1099
310524,2011-04-15,1091
297656,2011-04-15,1099
310525,2011-04-15,1091
297829,2011-04-15,1023
310533,2011-04-15,1105
296776,2011-04-15,28000
296776,2011-04-15,28041
296776,2011-04-15,1129
297471,2011-04-15,1025
311702,2011-04-15,1001
297833,2011-04-15,1099
311717,2011-04-15,1001
311756,2011-04-15,1051
297830,2011-04-15,1013
297797,2011-04-15,1053
295917,2011-04-16,37145
295917,2011-04-16,37000
295917,2011-04-16,51083
297611,2011-04-16,37125
297254,2011-04-16,37093
300477,2011-04-16,37017
300502,2011-04-16,37017
297246,2011-04-16,37195
296274,2011-04-16,37083
296306,2011-04-16,37191
305437,2011-04-16,51181
304929,2011-04-16,37015
305351,2011-04-16,37015
291704,2011-04-16,37103
303640,2011-04-16,51093
303638,2011-04-16,51119
291729,2011-04-16,37133
291732,2011-04-16,37049
314471,2011-04-19,17117
308598,2011-04-19,17135
315095,2011-04-19,17135
289175,2011-04-19,17193
289121,2011-04-19,17191
289166,2011-04-19,17185
304927,2011-04-19,18037
305337,2011-04-19,18117
292197,2011-04-19,39107
292531,2011-04-20,39089
303747,2011-04-21,48443
317910,2011-04-22,29189
317910,2011-04-22,29000
317910,2011-04-22,17119
317675,2011-04-22,17133
317867,2011-04-22,17119
289465,2011-04-22,21225
289981,2011-04-23,17003
289995,2011-04-23,21039
289586,2011-04-25,5051
289587,2011-04-25,5051
289592,2011-04-25,5051
289605,2011-04-25,5119
289604,2011-04-25,5119
290471,2011-04-26,21047
290349,2011-04-26,18173
291125,2011-04-26,48203
302894,2011-04-26,21085
291143,2011-04-26,48000
291143,2011-04-26,48365
291143,2011-04-26,22031
306571,2011-04-26,22123
291598,2011-04-26,22085
306597,2011-04-26,28133
291657,2011-04-26,22069
308237,2011-04-27,28051
308253,2011-04-27,28051
308417,2011-04-27,28007
308441,2011-04-27,28051
308546,2011-04-27,28097
308961,2011-04-27,28019
309073,2011-04-27,28019
309824,2011-04-27,28019
301577,2011-04-27,28141
310026,2011-04-27,28069
310026,2011-04-27,28000
311310,2011-04-27,1107
311504,2011-04-27,1107
311603,2011-04-27,1125
314602,2011-04-27,1127
302699,2011-04-27,47103
302192,2011-04-27,1043
312153,2011-04-27,1073
311613,2011-04-27,1073
305374,2011-04-27,47127
312133,2011-04-27,1115
302790,2011-04-27,1095
302738,2011-04-27,1049
351615,2011-04-27,47011
293385,2011-04-27,47065
303011,2011-04-27,28071
309257,2011-04-27,28099
301943,2011-04-27,1043
310930,2011-04-27,28155
303241,2011-04-27,5031
309488,2011-04-27,1000
309488,2011-04-27,1093
311015,2011-04-27,28029
307109,2011-04-27,1107
303562,2011-04-27,28000
303562,2011-04-27,28095
311051,2011-04-27,28069
311051,2011-04-27,28000
303562,2011-04-27,1093
301925,2011-04-27,1000
301925,2011-04-27,1071
311051,2011-04-27,1119
311053,2011-04-27,28129
301925,2011-04-27,13083
314625,2011-04-27,1063
301882,2011-04-27,1071
301882,2011-04-27,1000
309488,2011-04-27,47103
311057,2011-04-27,28101
314709,2011-04-27,1093
303574,2011-04-27,47071
301882,2011-04-27,47115
294036,2011-04-27,47011
314725,2011-04-27,1063
311079,2011-04-27,28000
311079,2011-04-27,28129
315350,2011-04-27,1057
300729,2011-04-27,47123
301829,2011-04-27,1049
301829,2011-04-27,1000
314829,2011-04-27,1000
314829,2011-04-27,1073
353666,2011-04-27,47123
311079,2011-04-27,1023
305268,2011-04-27,13000
305268,2011-04-27,13047
305268,2011-04-27,47065
303871,2011-04-27,51083
314829,2011-04-27,13233
315331,2011-04-27,1051
305917,2011-04-27,13015
350287,2011-04-27,47059
347884,2011-04-27,47123
302107,2011-04-27,1049
300459,2011-04-27,47153
300730,2011-04-27,47153
306267,2011-04-27,13187
347518,2011-04-27,47059
306600,2011-04-27,13285
297650,2011-04-27,47091
306601,2011-04-27,13145
306606,2011-04-27,13199
306882,2011-04-27,13231
297632,2011-04-27,47059
298380,2011-04-27,51191
302432,2011-04-27,36015
302227,2011-04-28,51165
303164,2011-04-28,36017
289235,2011-04-28,42133
289252,2011-04-28,42075
282676,2011-04-04,5057
288327,2011-04-04,21007
288319,2011-04-04,21047
282668,2011-04-04,22059
282592,2011-04-04,22107
282592,2011-04-04,22000
295351,2011-04-05,13091
300147,2011-04-08,51155
283803,2011-04-09,19133
301836,2011-04-09,19093
283214,2011-04-09,19161
283213,2011-04-09,19161
283446,2011-04-09,19161
283456,2011-04-09,19161
283450,2011-04-09,19151
286555,2011-04-09,19151
295476,2011-05-21,20111
300438,2011-05-22,19089
300438,2011-05-22,19000
307316,2011-05-22,19095
304520,2011-05-22,27055
304520,2011-05-22,27000
304520,2011-05-22,55063
307472,2011-05-22,55081
296616,2011-05-22,29145
296624,2011-05-22,29145
